traffic96trans,random,1,0.4638,0.4622,0.4592,15.8,55.5,96.0,
traffic96trans,msr_random,1,0.4654,0.4591,0.4586,20.5,73.0,126.0,
traffic96trans,our_random,1,0.465,0.465,0.465,15.0,52.0,90.0,

traffic96trans,gp,1,0.4632,0.4612,0.4601,15.5,55.2,96.0,
traffic96trans,msr_gp,1,0.4654,0.4562,0.4549,18.0,63.0,109.0,
traffic96trans,our_gp,1,0.4558,0.4558,0.4558,16.0,56.0,96.0,

traffic96trans,tpe,1,0.4642,0.4593,0.4577,13.3,47.7,82.7,
traffic96trans,msr_tpe,1,0.46,0.4582,0.4582,21.5,76.5,132.0,
traffic96trans,our_tpe,1,0.4751,0.4596,0.4596,13.0,46.0,79.0,

traffic96trans,smac,1,0.4574,0.4566,0.4553,14.0,50.0,86.0,
traffic96trans,msr_smac,1,0.4637,0.4554,0.4541,19.5,70.0,120.5,
traffic96trans,our_smac,1,0.4575,0.4575,0.4575,25.0,89.0,153.0,


traffic96trans,random,3,0.4697,0.4663,0.4629,15.8,55.5,96.0,
traffic96trans,msr_random,3,0.4683,0.4628,0.4607,20.5,73.0,126.0,
traffic96trans,our_random,3,0.467,0.4659,0.4657,15.0,52.0,90.0,

traffic96trans,gp,3,0.4671,0.464,0.4621,15.5,55.2,96.0,
traffic96trans,msr_gp,3,0.469,0.4611,0.4598,18.0,63.0,109.0,
traffic96trans,our_gp,3,0.4619,0.4584,0.458,16.0,56.0,96.0,

traffic96trans,tpe,3,0.4705,0.4615,0.459,13.3,47.7,82.7,
traffic96trans,msr_tpe,3,0.4647,0.4605,0.4605,21.5,76.5,132.0,
traffic96trans,our_tpe,3,0.4771,0.4631,0.4624,13.0,46.0,79.0,

traffic96trans,smac,3,0.4616,0.4599,0.4579,14.0,50.0,86.0,
traffic96trans,msr_smac,3,0.4682,0.4589,0.4565,19.5,70.0,120.5,
traffic96trans,our_smac,3,0.4624,0.4624,0.4624,25.0,89.0,153.0,


traffic96trans,random,5,0.4728,0.4683,0.4646,15.8,55.5,96.0,
traffic96trans,msr_random,5,0.4704,0.4649,0.4621,20.5,73.0,126.0,
traffic96trans,our_random,5,0.4692,0.4675,0.4666,15.0,52.0,90.0,

traffic96trans,gp,5,0.471,0.4662,0.464,15.5,55.2,96.0,
traffic96trans,msr_gp,5,0.4741,0.4634,0.4615,18.0,63.0,109.0,
traffic96trans,our_gp,5,0.4658,0.4604,0.4592,16.0,56.0,96.0,

traffic96trans,tpe,5,0.4745,0.4634,0.4599,13.3,47.7,82.7,
traffic96trans,msr_tpe,5,0.4686,0.463,0.463,21.5,76.5,132.0,
traffic96trans,our_tpe,5,0.4783,0.4659,0.4642,13.0,46.0,79.0,

traffic96trans,smac,5,0.4645,0.4615,0.4599,14.0,50.0,86.0,
traffic96trans,msr_smac,5,0.4717,0.4604,0.4582,19.5,70.0,120.5,
traffic96trans,our_smac,5,0.4649,0.4649,0.4649,25.0,89.0,153.0,


traffic96trans,random,10,0.4798,0.4719,0.467,15.8,55.5,96.0,
traffic96trans,msr_random,10,0.4762,0.4682,0.4646,20.5,73.0,126.0,
traffic96trans,our_random,10,0.4769,0.4735,0.4694,15.0,52.0,90.0,

traffic96trans,gp,10,0.4807,0.4703,0.4673,15.5,55.2,96.0,
traffic96trans,msr_gp,10,0.4824,0.4676,0.4644,18.0,63.0,109.0,
traffic96trans,our_gp,10,0.4741,0.4637,0.4619,16.0,56.0,96.0,

traffic96trans,tpe,10,0.483,0.4675,0.4625,13.3,47.7,82.7,
traffic96trans,msr_tpe,10,0.4747,0.467,0.467,21.5,76.5,132.0,
traffic96trans,our_tpe,10,0.4835,0.4703,0.467,13.0,46.0,79.0,

traffic96trans,smac,10,0.4731,0.4647,0.4627,14.0,50.0,86.0,
traffic96trans,msr_smac,10,0.4767,0.4631,0.4603,19.5,70.0,120.5,
traffic96trans,our_smac,10,0.4717,0.4717,0.4716,25.0,89.0,153.0,
